(274)mk_version***;		1.01;
(275)sett_version*;		0.03;
(276)serial_num_pc;		    1;
(277)complect*****;		    1;
(608)fpga_version*;		1.00;
tconv_start**t=UTC Mon Sep 11 14:10:35 2023
var_name\time***s=;		    0;	   -1;	   -2;	   -3;	   -4;	   -5;	   -6;	   -7;	   -8;	   -9;	  -10;	  -11;	  -12;	  -13;	  -14;	  -15;	  -16;	  -17;	  -18;	  -19;	  -20;	  -21;	  -22;	  -23;	  -24;	  -25;	  -26;	  -27;	  -28;	  -29;	  -30;	  -31;
(674)pl->t_logger**;		  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;	  200;
(675)->alfa_min_reg;		10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;	10.0;
(676)->alfa_max_reg;		90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;
(677)->alfa_max****;		170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;	170.0;
(678)->alfa_paus***;		169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;	169.0;
(679)->alfa_imp****;		110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;	110.0;
(680)alfa_test_plus;		 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;
(681)alfa_test_minu;		 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;	 0.0;
(713)->alfa_reg_out;		84.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;	90.0;
(682.0)sco.sync_lin;		    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;	    1;
